Creativity 25%,"Students provided appropriate ways to engage with the sources in the presentation. Pictures, images, videos, and/or audio were used in engaging and appealing ways. "
Accuracy 25%,"Students have three sources that (accurately and evidently) support the information they provide in their presentation. The information is not copied, but conveyed in the words of the students. "
Understanding 25%,Students demonstrate a clear understanding of each of the Elements of Hip Hop.
Criteria 25%,"Presentation is a minimum of 8 slides, including a title slide, a summary slide, and the Resources slide. "
